name,description,location,instances,viz,generator
Traffic,BLX/QTM traffic model.,/Traffic/,"1,0",TrafficViz.TrafficVisualizer,
Reservoir_discrete,Discrete version of management of the water level in interconnected reservoirs.,/Reservoir/Discrete/,"1,0",ReservoirViz.ReservoirVisualizer,
Reservoir_continuous,Continuous action version of management of the water level in interconnected reservoirs.,/Reservoir/Continuous/,"1,0",ReservoirViz.ReservoirVisualizer,ReservoirInstanceGenerator.ReservoirInstanceGenerator
RaceCar,A simple continuous MDP for the racecar problem.,/RaceCar/,"1,0",RacecarViz.RacecarVisualizer,RaceCarInstanceGenerator.RaceCarInstanceGenerator
RecSim,"A problem of recommendation systems, with consumers and providers.",/RecSim/,"1,0,2",RecSimViz.RecSimVisualizer,RecSimInstanceGenerator.RecSimInstanceGenerator
Pendulum,The classical pendulum control problem.,/Pendulum/,0,PendulumViz.PendulumVisualizer,
HVAC,Multi-zone and multi-heater HVAC control problem,/HVAC/,"1,0,2",HVACViz.HVACVisualizer,HVACInstanceGenerator.HVACInstanceGenerator
PropDBN,Simple propositional DBN.,/PropDBN/,0,ChartViz.ChartVisualizer,
Wildfire,A boolean version of the wildfire fighting domain.,/Wildfire/,0,WildfireViz.WildfireVisualizer,
CartPole_discrete,"A simple continuous state MDP for the classical cart-pole system by Rich Sutton, with discrete actions that apply a constant force on either the left or right side of the cart.",/CartPole/Discrete/,0,CartPoleViz.CartPoleVisualizer,
CartPole_continuous,"A simple continuous state-action MDP for the classical cart-pole system by Rich Sutton, with actions that describe the continuous force applied to the cart.",/CartPole/Continuous/,0,CartPoleViz.CartPoleVisualizer,
SupplyChain,A supply chain with factory and multiple warehouses.,/SupplyChain/,0,ChartViz.ChartVisualizer,
Elevators,The Elevator domain models evening rush hours when people from different floors in a building want to go down to the bottom floor using elevators.,/Elevators/,"1,0",ElevatorViz.ElevatorVisualizer,
Pong,Single player pong/tennis problem.,/Pong/,0,PongViz.PongVisualizer,
UAV_mixed,Mixed action space version of multi-UAV problem where a group of UAVs have to reach goal positions in the 3d Space.,/UAV/Mixed/,0,UAVsViz.UAVsVisualizer,
UAV_discrete,Discrete action space version of multi-UAV problem where a group of UAVs have to reach goal positions in the 3d Space.,/UAV/Discrete/,0,UAVsViz.UAVsVisualizer,
UAV_continuous,Continuous action space version of multi-UAV problem where a group of UAVs have to reach goal positions in the 3d Space.,/UAV/Continuous/,"1,0",UAVsViz.UAVsVisualizer,UAVInstanceGenerator.UAVInstanceGenerator
NewtonZero,Example with Newton root-finding method.,/NewLanguageExamples/NewtonZero/,0,ChartViz.ChartVisualizer,
NewLanguage,Example with new language features.,/NewLanguageExamples/NewLanguage/,0,ChartViz.ChartVisualizer,
MountainCar,A simple continuous MDP for the classical mountain car control problem.,/MountainCar/,0,MountainCarViz.MountainCarVisualizer,MountainCarInstanceGenerator.MountainCarInstanceGenerator
PowerGen_discrete,A simple power generation problem loosely modeled on the problem of unit commitment.,/PowerGen/Discrete/,0,PowerGenViz.PowerGenVisualizer,
PowerGen_continuous,A continuous simple power generation problem loosely modeled on the problem of unit commitment.,/PowerGen/Continuous/,0,PowerGenViz.PowerGenVisualizer,PowerGenInstanceGenerator.PowerGenInstanceGenerator
Quadcopter,Control a four-propeller drone in 3D space.,/Quadcopter/,"1,0",QuadcopterViz.QuadcopterVisualizer,
MarsRover,"Multi Rover Navigation, where a group of agent needs to harvest mineral.",/MarsRover/,0,MarsRoverViz.MarsRoverVisualizer,MarsRoverInstanceGenerator.MarsRoverInstanceGenerator
